original_attribute,coefficient,normative_weight,rank,weight_tier
checking_account_status,0.4529757043068645,0.4529757043068645,1,HIGH
installment_rate_pct,-0.36316990288523804,0.36316990288523804,2,HIGH
credit_amount,-0.3555556792848512,0.3555556792848512,3,HIGH
duration_months,-0.3342617330181594,0.3342617330181594,4,HIGH
purpose,0.2925981862036158,0.2925981862036158,5,MEDIUM
credit_history,0.28048950560630054,0.28048950560630054,6,MEDIUM
savings_account_bonds,-0.21361230159537029,0.21361230159537029,7,MEDIUM
employment_since,0.20145443181648623,0.20145443181648623,8,MEDIUM
other_debtors_guarantors,0.1756956778230314,0.1756956778230314,9,MEDIUM
property,-0.16679954238661363,0.16679954238661363,10,MEDIUM
age_years,0.1635477484635768,0.1635477484635768,11,MEDIUM
personal_status_sex,0.1591066661096536,0.1591066661096536,12,MEDIUM
num_existing_credits,-0.15310935485169197,0.15310935485169197,13,LOW
housing,-0.13208612325527905,0.13208612325527905,14,LOW
foreign_worker,0.13030433379535739,0.13030433379535739,15,LOW
other_installment_plans,0.12340237351184351,0.12340237351184351,16,LOW
num_dependents,-0.09368362526877119,0.09368362526877119,17,LOW
job,0.07304207249804728,0.07304207249804728,18,LOW
telephone,0.07288990680477786,0.07288990680477786,19,LOW
present_residence_since,-0.005116549870907825,0.005116549870907825,20,LOW
