original_attribute,normative_weight,rank,weight_tier
checking_account_status,0.45297570430686407,1,HIGH
installment_rate_pct,0.363169902885238,2,HIGH
credit_amount,0.3555556792848511,3,HIGH
duration_months,0.33426173301815965,4,HIGH
purpose,0.29259818620361566,5,MEDIUM
credit_history,0.28048950560630037,6,MEDIUM
savings_account_bonds,0.21361230159537037,7,MEDIUM
employment_since,0.2014544318164861,8,MEDIUM
other_debtors_guarantors,0.17569567782303147,9,MEDIUM
property,0.1667995423866134,10,MEDIUM
age_years,0.16354774846357695,11,MEDIUM
personal_status_sex,0.1591066661096542,12,MEDIUM
num_existing_credits,0.15310935485169228,13,LOW
housing,0.13208612325527866,14,LOW
foreign_worker,0.1303043337953574,15,LOW
other_installment_plans,0.12340237351184473,16,LOW
num_dependents,0.0936836252687712,17,LOW
job,0.07304207249804756,18,LOW
telephone,0.0728899068047778,19,LOW
present_residence_since,0.005116549870907766,20,LOW
